t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,-0.132018,0.157635,44.0731,-0.00299056,0.180746,-0.24259,0.00161082,-0.339405,0,0.0501581,0,0.998741,0.0186194,-0.000722395,0.000665433
0.001998,0.615259,0.223732,44.1729,0.0139372,0.126154,-0.242563,0.00161082,-0.339404,0,0.0503584,0,0.998731,0.0136,0,0.000490228
0.003996,0.828826,0.245028,44.1658,0.0187751,0.144435,-0.242535,0.00161082,-0.339403,0,0.0505588,0,0.998721,0.0136,0,0.000685324
0.005994,1.20192,0.184978,44.1173,0.0272266,0.163715,-0.242508,0.00161082,-0.339402,0,0.0507591,0,0.998711,0.0136,0,0.000523567
0.007992,1.43899,0.242913,44.218,0.0325969,0.183255,-0.242481,0.00161082,-0.339401,0,0.0509594,0,0.998701,0.0136,0,0.000714988
0.00999,0.699688,0.63467,43.6322,0.0158498,0.129571,-0.242454,0.00161082,-0.339402,0,0.0511598,0,0.998691,0.0136,0,-0.00304317
0.011988,0.63569,0.693995,44.3515,0.0144,0.146057,-0.242427,0.00161082,-0.339409,0,0.0513601,0,0.99868,0.0136,0,-0.00300504
0.013986,0.916487,0.957841,44.1919,0.0207608,0.144043,-0.2424,0.00161082,-0.339413,0,0.0515604,0,0.99867,0.0136,0,-0.000562861
0.015984,1.24725,0.922893,44.2434,0.0282534,0.159026,-0.242372,0.00161082,-0.339416,0,0.0517607,0,0.998659,0.0136,0,-0.00285456
0.017982,1.35162,1.26153,44.6593,0.0306177,0.176457,-0.242345,0.00161082,-0.339422,0,0.051961,0,0.998649,0.0136,0,-0.00248531
0.01998,1.35294,1.32164,44.2108,0.0306477,0.145685,-0.242318,0.00161082,-0.339423,0,0.0521613,0,0.998639,0.0136,0,0.000290323
0.021978,1.45987,1.49265,44.1985,0.0330699,0.111694,-0.242291,0.00161082,-0.339422,0,0.0523616,0,0.998628,0.0136,0,0.000579841
0.023976,1.40575,1.57825,43.7325,0.0318439,0.120437,-0.242264,0.00161082,-0.339422,0,0.0525619,0,0.998618,0.0136,0,-0.000977411
0.025974,1.20728,1.81734,44.2308,0.027348,0.120481,-0.242237,0.00161082,-0.339424,0,0.0527623,0,0.998607,0.0136,0,-0.000873597
0.027972,1.43133,1.81394,44.5847,0.0324234,0.12916,-0.242209,0.00161082,-0.339423,0,0.0529626,0,0.998597,0.0136,0,0.00215076
0.02997,1.50049,1.72605,44.0681,0.0339901,0.139846,-0.242182,0.00161082,-0.339418,0,0.0531629,0,0.998586,0.0136,0,0.00249978
0.031968,1.55077,1.74415,44.1922,0.035129,0.152322,-0.242155,0.00161082,-0.339415,0,0.0533631,0,0.998575,0.0136,0,-3.70461e-05
0.033966,1.66624,1.7661,44.5644,0.0377447,0.165709,-0.242128,0.00161082,-0.339415,0,0.0535634,0,0.998564,0.0136,0,0.000921768
0.035964,1.72836,1.75214,43.848,0.0391518,0.114374,-0.242101,0.00161082,-0.339412,0,0.0537637,0,0.998554,0.0136,0,0.00137003
0.037962,1.73778,1.93723,44.1393,0.0393652,0.115996,-0.242074,0.00161082,-0.339412,0,0.053964,0,0.998543,0.0136,0,-0.000444225
0.03996,1.66731,2.07109,44.3402,0.0377689,0.0955322,-0.242046,0.00161082,-0.339413,0,0.0541643,0,0.998532,0.0136,0,9.43783e-06
0.041958,1.67644,2.20209,44.1873,0.0379757,0.0997377,-0.242019,0.00161082,-0.339411,0,0.0543646,0,0.998521,0.0136,0,0.00123724
