t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,0.0289647,-0.0213922,43.9135,0.000656126,0.0888648,-0.238533,0.00206843,-0.311851,0,0.0501581,0,0.998741,0.020227,0.00112421,0.000150189
0.001998,1.06991,0.323405,44.2195,0.0242364,0.0972002,-0.238499,0.00206843,-0.311851,0,0.0503584,0,0.998731,0.017,0,6.99736e-05
0.003996,1.47543,0.334489,44.3214,0.0334223,0.106085,-0.238465,0.00206843,-0.311851,0,0.0505588,0,0.998721,0.017,0,5.5106e-05
0.005994,2.03429,0.586059,44.2659,0.046082,0.116647,-0.238431,0.00206843,-0.31185,0,0.0507591,0,0.998711,0.017,0,0.000873283
0.007992,2.4023,0.80656,44.1366,0.0544184,0.103603,-0.238397,0.00206843,-0.311848,0,0.0509594,0,0.998701,0.017,0,0.000367365
0.00999,2.86363,0.988816,44.1349,0.0648686,0.110023,-0.238363,0.00206843,-0.311849,0,0.0511598,0,0.998691,0.017,0,-0.000419654
0.011988,3.03981,1.08626,44.4879,0.0688596,0.116773,-0.238329,0.00206843,-0.31185,0,0.0513601,0,0.99868,0.017,0,-3.79753e-05
0.013986,3.34527,1.56866,43.7657,0.0757791,0.124533,-0.238295,0.00206843,-0.311849,0,0.0515604,0,0.99867,0.017,0,6.34709e-05
0.015984,3.42957,2.02233,44.0048,0.0776887,0.133753,-0.238261,0.00206843,-0.311851,0,0.0517607,0,0.998659,0.017,0,-0.0017238
0.017982,3.77724,1.92561,44.2112,0.0855643,0.142969,-0.238227,0.00206843,-0.311854,0,0.051961,0,0.998649,0.017,0,-0.00101061
0.01998,4.12416,1.68572,44.1639,0.0934229,0.153424,-0.238193,0.00206843,-0.311854,0,0.0521613,0,0.998639,0.017,0,0.000589028
0.021978,4.41722,1.4905,44.238,0.100062,0.164089,-0.238159,0.00206843,-0.311853,0,0.0523616,0,0.998628,0.017,0,0.000337701
0.023976,4.73987,1.3403,43.9631,0.10737,0.175139,-0.238125,0.00206843,-0.311853,0,0.0525619,0,0.998618,0.017,0,0.000130425
0.025974,4.97724,1.3404,43.5977,0.112747,0.186132,-0.238091,0.00206843,-0.311852,0,0.0527623,0,0.998607,0.017,0,0.000221861
0.027972,3.92848,1.27682,44.1184,0.0889904,0.196862,-0.238057,0.00206843,-0.311855,0,0.0529626,0,0.998597,0.017,0,-0.00339875
0.02997,4.29256,1.46002,44.6097,0.0972378,0.207347,-0.238023,0.00206843,-0.311862,0,0.0531629,0,0.998586,0.017,0,-0.00261584
0.031968,4.34125,1.03225,44.3315,0.0983407,0.217303,-0.237989,0.00206843,-0.311865,0,0.0533631,0,0.998575,0.017,0,-0.000787813
0.033966,4.5838,0.525177,44.1796,0.103835,0.234091,-0.237955,0.00206843,-0.311867,0,0.0535634,0,0.998564,0.017,0,-0.000993666
0.035964,5.10629,0.237898,44.3008,0.115671,0.10258,-0.237921,0.00206843,-0.311869,0,0.0537637,0,0.998554,0.017,0,-0.000783406
0.037962,5.43845,0.13588,44.3459,0.123195,0.0826169,-0.237887,0.00206843,-0.311869,0,0.053964,0,0.998543,0.017,0,0.000711967
0.03996,6.03777,0.0910057,44.1212,0.136771,0.0821556,-0.237853,0.00206843,-0.311868,0,0.0541643,0,0.998532,0.017,0,0.000829111
0.041958,6.57162,0.077592,44.3283,0.148864,0.0922417,-0.237819,0.00206843,-0.311866,0,0.0543646,0,0.998521,0.017,0,0.00123394
0.043956,6.73335,0.14262,44.2291,0.152528,0.106501,-0.237785,0.00206843,-0.311863,0,0.0545649,0,0.99851,0.017,0,0.0014434
0.045954,6.80222,0.257812,44.0095,0.154088,0.0861527,-0.237752,0.00206843,-0.31186,0,0.0547652,0,0.998499,0.017,0,0.00107126
0.047952,6.65249,0.500424,43.8245,0.150696,0.116538,-0.237718,0.00206843,-0.311859,0,0.0549654,0,0.998488,0.017,0,0.000746886
0.04995,6.34115,0.650651,44.1462,0.143644,0.180525,-0.237684,0.00206843,-0.311858,0,0.0551657,0,0.998477,0.017,0,-0.000191113
0.051948,7.17046,0.608008,44.2924,0.16243,0.158704,-0.23765,0.00206843,-0.311859,0,0.055366,0,0.998466,0.017,0,3.20441e-05
0.053946,6.70175,1.06918,43.762,0.151812,0.0929525,-0.237616,0.00206843,-0.311859,0,0.0555663,0,0.998455,0.017,0,-0.000624539
0.055944,6.31166,1.15493,44.1813,0.142976,0.0827185,-0.237582,0.00206843,-0.311862,0,0.0557665,0,0.998444,0.017,0,-0.00218233
0.057942,6.66877,1.16225,44.4627,0.151065,0.0889735,-0.237548,0.00206843,-0.311864,0,0.0559668,0,0.998433,0.017,0,0.000192701
0.05994,6.85058,1.25395,43.9706,0.155184,0.0961416,-0.237514,0.00206843,-0.311862,0,0.056167,0,0.998421,0.017,0,0.0019199
0.061938,7.13843,1.12693,44.1113,0.161704,0.10385,-0.23748,0.00206843,-0.311859,0,0.0563673,0,0.99841,0.017,0,0.000929019
0.063936,7.18492,1.16866,44.3258,0.162757,0.11155,-0.237446,0.00206843,-0.311857,0,0.0565676,0,0.998399,0.017,0,0.000650185
0.065934,7.28949,1.14111,44.1528,0.165126,0.120423,-0.237412,0.00206843,-0.311854,0,0.0567678,0,0.998387,0.017,0,0.00165288
0.067932,7.41366,1.09676,43.9556,0.167939,0.108952,-0.237378,0.00206843,-0.311851,0,0.0569681,0,0.998376,0.017,0,0.00131257
0.06993,7.46554,1.01359,44.1959,0.169114,0.126932,-0.237344,0.00206843,-0.31185,0,0.0571683,0,0.998365,0.017,0,0.000102041
0.071928,7.56044,0.925422,44.2833,0.171264,0.0830109,-0.23731,0.00206843,-0.31185,0,0.0573686,0,0.998353,0.017,0,0.000193041
0.073926,7.60022,0.910368,44.3436,0.172165,0.0782092,-0.237276,0.00206843,-0.31185,0,0.0575688,0,0.998342,0.017,0,0.000383818
0.075924,7.58154,1.13332,44.1926,0.171742,0.0895608,-0.237242,0.00206843,-0.311848,0,0.057769,0,0.99833,0.017,0,0.000815431
0.077922,7.66032,0.942252,44.1749,0.173526,0.0978068,-0.237208,0.00206843,-0.311848,0,0.0579693,0,0.998318,0.017,0,-3.73148e-05
0.07992,7.64864,0.784849,44.0255,0.173262,0.0956478,-0.237174,0.00206843,-0.311848,0,0.0581695,0,0.998307,0.017,0,-0.000672084
0.081918,7.84261,0.914831,44.2234,0.177656,0.106181,-0.23714,0.00206843,-0.31185,0,0.0583698,0,0.998295,0.017,0,-0.000257386
0.083916,7.74905,0.957688,44.2965,0.175536,0.115664,-0.237106,0.00206843,-0.311851,0,0.05857,0,0.998283,0.017,0,-0.000628178
0.085914,7.49521,0.924605,44.2434,0.169786,0.131409,-0.237072,0.00206843,-0.311852,0,0.0587702,0,0.998272,0.017,0,-5.75436e-06
0.087912,7.46936,0.686355,44.2937,0.169201,0.141473,-0.237038,0.00206843,-0.311851,0,0.0589704,0,0.99826,0.017,0,0.000532456
0.08991,7.63821,0.693379,44.2395,0.173025,0.126713,-0.237004,0.00206843,-0.311849,0,0.0591707,0,0.998248,0.017,0,0.000792374
0.091908,7.835,0.636822,44.1842,0.177483,0.135023,-0.23697,0.00206843,-0.311848,0,0.0593709,0,0.998236,0.017,0,0.000988249
0.093906,7.90913,0.535045,44.2857,0.179163,0.150849,-0.236936,0.00206843,-0.311846,0,0.0595711,0,0.998224,0.017,0,0.00115169
0.095904,7.99331,0.584516,44.0902,0.181069,0.164981,-0.236902,0.00206843,-0.311844,0,0.0597713,0,0.998212,0.017,0,0.000757213
0.097902,7.84279,0.734813,44.2205,0.17766,0.180382,-0.236868,0.00206843,-0.311842,0,0.0599715,0,0.9982,0.017,0,0.000824473
0.0999,7.93204,0.741608,44.2745,0.179681,0.196047,-0.236834,0.00206843,-0.311841,0,0.0601717,0,0.998188,0.017,0,0.000621125
0.101898,7.98314,0.799281,44.2465,0.180839,0.122189,-0.2368,0.00206843,-0.31184,0,0.060372,0,0.998176,0.017,0,0.000502527
0.103896,8.2328,0.668512,44.0508,0.186495,0.137428,-0.236767,0.00206843,-0.311838,0,0.0605722,0,0.998164,0.017,0,0.00123035
0.105894,8.28022,0.66339,44.1583,0.187569,0.153488,-0.236733,0.00206843,-0.311835,0,0.0607724,0,0.998152,0.017,0,0.00128083
0.107892,8.17152,0.823074,43.944,0.185106,0.16909,-0.236699,0.00206843,-0.311833,0,0.0609726,0,0.998139,0.017,0,0.000860878
0.10989,7.90704,1.00659,44.1854,0.179115,0.185505,-0.236665,0.00206843,-0.311832,0,0.0611728,0,0.998127,0.017,0,0.000688072
0.111888,7.6864,1.29261,44.1957,0.174117,0.0965482,-0.236631,0.00206843,-0.31183,0,0.061373,0,0.998115,0.017,0,0.000917456
0.113886,7.7354,1.21163,44.1886,0.175227,0.0854181,-0.236597,0.00206843,-0.311829,0,0.0615732,0,0.998103,0.017,0,0.000262917
0.115884,7.67201,1.07603,44.1751,0.173791,0.0998233,-0.236563,0.00206843,-0.311829,0,0.0617733,0,0.99809,0.017,0,0.000259065
0.117882,7.81076,1.09834,44.0759,0.176934,0.0983993,-0.236529,0.00206843,-0.311827,0,0.0619735,0,0.998078,0.017,0,0.00121066
0.11988,7.72572,1.13247,44.1203,0.175008,0.0736953,-0.236495,0.00206843,-0.311825,0,0.0621737,0,0.998065,0.017,0,0.000624472
0.121878,7.71899,1.18673,44.0673,0.174855,0.0825227,-0.236461,0.00206843,-0.311824,0,0.0623739,0,0.998053,0.017,0,0.000143328
0.123876,8.24817,1.27992,44.3382,0.186843,0.0793626,-0.236427,0.00206843,-0.311824,0,0.0625741,0,0.99804,0.017,0,0.000674172
0.125874,8.37582,1.15601,43.9377,0.189734,0.0881221,-0.236393,0.00206843,-0.311823,0,0.0627743,0,0.998028,0.017,0,0.000719097
0.127872,8.64431,1.18248,44.251,0.195816,0.0974994,-0.236359,0.00206843,-0.311822,0,0.0629746,0,0.998015,0.017,0,0.000343024
0.12987,8.81878,1.10244,44.2828,0.199768,0.107508,-0.236325,0.00206843,-0.311821,0,0.0631749,0,0.998003,0.017,0,0.000369185
0.131868,8.86348,1.05431,44.0159,0.200781,0.118159,-0.236291,0.00206843,-0.311819,0,0.0633752,0,0.99799,0.017,0,0.00125514
0.133866,8.9261,1.10141,43.8585,0.2022,0.129379,-0.236257,0.00206843,-0.311817,0,0.0635755,0,0.997977,0.017,0,0.00132314
0.135864,8.91873,1.32042,44.2255,0.202033,0.141123,-0.236223,0.00206843,-0.311815,0,0.0637758,0,0.997964,0.017,0,0.00068264
0.137862,8.95108,1.42202,44.0635,0.202766,0.153275,-0.236189,0.00206843,-0.311814,0,0.063976,0,0.997951,0.017,0,0.000320963
0.13986,8.79155,1.54091,44.0939,0.199152,0.103108,-0.236155,0.00206843,-0.311813,0,0.0641763,0,0.997939,0.017,0,0.000487914
0.141858,8.77061,1.53197,44.3146,0.198677,0.112525,-0.236121,0.00206843,-0.311812,0,0.0643765,0,0.997926,0.017,0,0.00101915
0.143856,8.71961,1.54758,44.0798,0.197522,0.130438,-0.236087,0.00206843,-0.31181,0,0.0645768,0,0.997913,0.017,0,0.00105514
0.145854,8.59024,1.67062,44.019,0.194591,0.14876,-0.236053,0.00206843,-0.311808,0,0.0647771,0,0.9979,0.017,0,0.000570567
0.147852,8.72612,1.5536,44.2301,0.197669,0.167346,-0.236019,0.00206843,-0.311807,0,0.0649774,0,0.997887,0.017,0,0.00103078
0.14985,8.79651,1.37876,43.9089,0.199264,0.111306,-0.235985,0.00206843,-0.311804,0,0.0651776,0,0.997874,0.017,0,0.00103146
0.151848,8.88539,1.38463,44.0326,0.201277,0.129688,-0.235951,0.00206843,-0.311803,0,0.0653778,0,0.997861,0.017,0,0.000205575
0.153846,9.33251,1.10859,44.3871,0.211406,0.116397,-0.235917,0.00206843,-0.311803,0,0.065578,0,0.997847,0.017,0,0.000365869
0.155844,9.61859,0.906462,44.1591,0.217886,0.126826,-0.235883,0.00206843,-0.311801,0,0.0657782,0,0.997834,0.017,0,0.001176
0.157842,9.94362,0.718624,44.0242,0.225249,0.137332,-0.235849,0.00206843,-0.3118,0,0.0659783,0,0.997821,0.017,0,-2.77557e-05
0.15984,10.138,0.320476,44.2396,0.229653,0.0927533,-0.235816,0.00206843,-0.311801,0,0.0661785,0,0.997808,0.017,0,-0.000852769
0.161838,10.3716,0.162546,44.1293,0.234944,0.101447,-0.235782,0.00206843,-0.311802,0,0.0663787,0,0.997795,0.017,0,-0.000186977
0.163836,10.4957,-0.0326208,44.0092,0.237756,0.110186,-0.235748,0.00206843,-0.311802,0,0.0665789,0,0.997781,0.017,0,-0.00044121
0.165834,10.2511,0.0241655,43.8662,0.232213,0.118279,-0.235714,0.00206843,-0.311805,0,0.0667791,0,0.997768,0.017,0,-0.00195746
0.167832,10.1989,-0.10779,44.2639,0.231031,0.130217,-0.23568,0.00206843,-0.31181,0,0.0669793,0,0.997754,0.017,0,-0.00315326
0.16983,10.3428,-0.138493,44.4158,0.234291,0.149327,-0.235646,0.00206843,-0.311815,0,0.0671795,0,0.997741,0.017,0,-0.0017427
0.171828,10.2504,-0.0680864,44.2328,0.232198,0.168425,-0.235612,0.00206843,-0.311818,0,0.0673797,0,0.997727,0.017,0,-0.000837877
0.173826,10.5402,-0.0979194,44.3517,0.238762,0.18788,-0.235578,0.00206843,-0.311819,0,0.0675799,0,0.997714,0.017,0,-0.000220889
0.175824,10.4531,0.0129808,44.3,0.23679,0.207374,-0.235544,0.00206843,-0.311819,0,0.0677801,0,0.9977,0.017,0,0.000464266
0.177822,10.2591,0.0257142,44.0441,0.232397,0.137235,-0.23551,0.00206843,-0.311817,0,0.0679802,0,0.997687,0.017,0,0.000695935
0.17982,10.3973,-0.0702623,44.1354,0.235526,0.104325,-0.235476,0.00206843,-0.311816,0,0.0681804,0,0.997673,0.017,0,0.000902991
0.181818,10.4283,-0.252012,44.251,0.236229,0.0849347,-0.235442,0.00206843,-0.311814,0,0.0683806,0,0.997659,0.017,0,0.000896617
0.183816,10.2715,-0.266498,43.6965,0.232676,0.144869,-0.235408,0.00206843,-0.311813,0,0.0685808,0,0.997646,0.017,0,0.000145037
0.185814,10.3322,-0.594848,44.0717,0.234051,0.130524,-0.235374,0.00206843,-0.311813,0,0.068781,0,0.997632,0.017,0,-0.000347376
0.187812,10.3575,-0.724319,43.9656,0.234625,0.116618,-0.23534,0.00206843,-0.311814,0,0.0689811,0,0.997618,0.017,0,3.59494e-05
0.18981,10.579,-0.66545,44.2229,0.239642,0.108279,-0.235306,0.00206843,-0.311813,0,0.0691812,0,0.997604,0.017,0,0.000537343
0.191808,10.5316,-0.527094,44.0545,0.238568,0.102915,-0.235272,0.00206843,-0.311813,0,0.0693814,0,0.99759,0.017,0,-0.000148295
0.193806,10.6595,-0.503826,44.3121,0.241466,0.10019,-0.235238,0.00206843,-0.311813,0,0.0695816,0,0.997576,0.017,0,-3.29844e-05
0.195804,10.5616,-0.424504,43.9661,0.239248,0.100642,-0.235204,0.00206843,-0.311812,0,0.0697817,0,0.997562,0.017,0,0.000593468
0.197802,10.4118,-0.351516,43.973,0.235854,0.105434,-0.23517,0.00206843,-0.311812,0,0.0699818,0,0.997548,0.017,0,9.92748e-06
0.1998,10.2601,-0.388801,44.2487,0.232418,0.109189,-0.235136,0.00206843,-0.311812,0,0.0701819,0,0.997534,0.017,0,2.52519e-05
0.201798,10.3942,-0.581884,44.1852,0.235457,0.12903,-0.235102,0.00206843,-0.311812,0,0.0703821,0,0.99752,0.017,0,0.00031393
0.203796,10.1348,-0.666264,44.0387,0.22958,0.148859,-0.235068,0.00206843,-0.311811,0,0.0705822,0,0.997506,0.017,0,0.000378429
0.205794,9.73694,-0.667242,44.0163,0.220567,0.153183,-0.235034,0.00206843,-0.311812,0,0.0707823,0,0.997492,0.017,0,-0.00151819
0.207792,9.6691,-0.680941,44.2518,0.21903,0.107552,-0.235,0.00206843,-0.311815,0,0.0709824,0,0.997478,0.017,0,-0.000880909
0.20979,9.49297,-0.692765,44.2034,0.215041,0.100819,-0.234966,0.00206843,-0.311815,0,0.0711825,0,0.997463,0.017,0,0.000497422
0.211788,9.42346,-0.668337,44.2055,0.213466,0.119849,-0.234932,0.00206843,-0.311814,0,0.0713826,0,0.997449,0.017,0,0.000176502
0.213786,9.38219,-0.647468,44.1396,0.212531,0.127867,-0.234898,0.00206843,-0.311814,0,0.0715827,0,0.997435,0.017,0,-0.000351507
0.215784,9.57227,-0.462791,44.194,0.216837,0.140523,-0.234864,0.00206843,-0.311815,0,0.0717828,0,0.99742,0.017,0,0.000107858
0.217782,9.68754,-0.252224,44.3556,0.219448,0.140064,-0.234831,0.00206843,-0.311814,0,0.0719829,0,0.997406,0.017,0,0.000916534
