t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,-0.00109685,0.0153343,44.0066,-2.48466e-05,0.474948,-0.241739,0.00423041,-0.339196,0,0.0501581,0,0.998741,0.0156044,0.00309281,0.00156909
0.001998,0.164144,0.702131,44.2227,0.00371828,0.195311,-0.241712,0.00423041,-0.339192,0,0.0503584,0,0.998731,0.0136,0,0.0021499
0.003996,0.218738,1.29897,44.0601,0.00495498,0.217341,-0.241685,0.00423041,-0.339188,0,0.0505588,0,0.998721,0.0136,0,0.00152968
0.005994,0.0617628,1.99222,44.1701,0.00139909,0.145211,-0.241658,0.00423041,-0.339187,0,0.0507591,0,0.998711,0.0136,0,-4.25291e-05
0.007992,-0.381092,2.12025,44.3178,-0.00863273,0.159725,-0.24163,0.00423041,-0.339188,0,0.0509594,0,0.998701,0.0136,0,-9.86985e-05
0.00999,-0.793243,2.09976,43.9879,-0.017969,0.174765,-0.241603,0.00423041,-0.339188,0,0.0511598,0,0.998691,0.0136,0,-0.000793917
0.011988,-1.06745,2.5217,44.1,-0.0241805,0.130149,-0.241576,0.00423041,-0.33919,0,0.0513601,0,0.99868,0.0136,0,-0.00155397
0.013986,-1.42926,3.04566,44.0288,-0.0323764,0.109651,-0.241549,0.00423041,-0.339193,0,0.0515604,0,0.99867,0.0136,0,-0.00108876
0.015984,-1.55854,3.36736,44.4482,-0.0353051,0.0785262,-0.241522,0.00423041,-0.339196,0,0.0517607,0,0.998659,0.0136,0,-0.000500929
0.017982,-1.6092,3.36066,44.3361,-0.0364525,0.0852693,-0.241495,0.00423041,-0.339196,0,0.051961,0,0.998649,0.0136,0,0.000212512
0.01998,-1.62586,3.28312,43.9227,-0.0368299,0.095628,-0.241467,0.00423041,-0.339194,0,0.0521613,0,0.998639,0.0136,0,0.0015283
0.021978,-1.61678,3.13551,44.0698,-0.0366243,0.0863112,-0.24144,0.00423041,-0.339192,0,0.0523616,0,0.998628,0.0136,0,0.000259454
0.023976,-1.46655,2.73922,43.9146,-0.0332213,0.0925403,-0.241413,0.00423041,-0.339191,0,0.0525619,0,0.998618,0.0136,0,0.00040666
0.025974,-1.24014,2.52917,43.9108,-0.0280923,0.0929132,-0.241386,0.00423041,-0.339191,0,0.0527623,0,0.998607,0.0136,0,0.000110574
0.027972,-1.37367,2.28996,44.0128,-0.0311172,0.11907,-0.241359,0.00423041,-0.339192,0,0.0529626,0,0.998597,0.0136,0,-0.00183136
0.02997,-0.753129,2.06233,44.4342,-0.0170603,0.0834049,-0.241332,0.00423041,-0.339197,0,0.0531629,0,0.998586,0.0136,0,-0.00231488
0.031968,-0.437548,2.09303,44.5318,-0.0099116,0.087009,-0.241304,0.00423041,-0.3392,0,0.0533631,0,0.998575,0.0136,0,-0.000278135
0.033966,-0.140281,2.14995,44.3249,-0.00317772,0.087755,-0.241277,0.00423041,-0.339199,0,0.0535634,0,0.998564,0.0136,0,0.000451908
0.035964,-0.13793,2.00417,44.0678,-0.00312447,0.0915597,-0.24125,0.00423041,-0.339198,0,0.0537637,0,0.998554,0.0136,0,0.000373288
0.037962,0.100063,1.95982,44.4595,0.00226668,0.0975576,-0.241223,0.00423041,-0.339198,0,0.053964,0,0.998543,0.0136,0,0.000449121
0.03996,0.323319,2.13163,44.1288,0.00732403,0.108517,-0.241196,0.00423041,-0.339195,0,0.0541643,0,0.998532,0.0136,0,0.00230148
0.041958,0.221241,2.3421,44.1211,0.00501168,0.112509,-0.241169,0.00423041,-0.33919,0,0.0543646,0,0.998521,0.0136,0,0.00231567
0.043956,0.239778,2.38104,44.1312,0.00543159,0.124405,-0.241141,0.00423041,-0.339187,0,0.0545649,0,0.99851,0.0136,0,0.000955975
0.045954,0.347968,2.402,44.4094,0.00788238,0.136718,-0.241114,0.00423041,-0.339185,0,0.0547652,0,0.998499,0.0136,0,0.00140738
0.047952,0.348786,2.57834,44.0041,0.00790093,0.0918552,-0.241087,0.00423041,-0.33918,0,0.0549654,0,0.998488,0.0136,0,0.00308949
0.04995,0.161443,2.57432,44.0217,0.00365711,0.104645,-0.24106,0.00423041,-0.339174,0,0.0551657,0,0.998477,0.0136,0,0.00219352
0.051948,-0.0949626,2.53666,44.2116,-0.00215115,0.119086,-0.241033,0.00423041,-0.339171,0,0.055366,0,0.998466,0.0136,0,0.00127183
0.053946,-0.137864,2.66919,44.2106,-0.00312297,0.132865,-0.241006,0.00423041,-0.339168,0,0.0555663,0,0.998455,0.0136,0,0.00243833
0.055944,-0.0964531,2.72724,44.1638,-0.00218492,0.140969,-0.240978,0.00423041,-0.339162,0,0.0557665,0,0.998444,0.0136,0,0.00299256
0.057942,-0.0545584,2.94073,44.0418,-0.00123589,0.150721,-0.240951,0.00423041,-0.339157,0,0.0559668,0,0.998433,0.0136,0,0.00178824
0.05994,-0.000524267,3.19881,44.0434,-1.1876e-05,0.160728,-0.240924,0.00423041,-0.339154,0,0.056167,0,0.998421,0.0136,0,0.0012369
0.061938,0.0335312,3.16177,44.3629,0.000759569,0.171153,-0.240897,0.00423041,-0.339152,0,0.0563673,0,0.99841,0.0136,0,0.00167341
0.063936,0.11893,3.17614,44.3111,0.00269408,0.152432,-0.24087,0.00423041,-0.339147,0,0.0565676,0,0.998399,0.0136,0,0.00259598
0.065934,-0.0182224,3.13777,44.0781,-0.000412785,0.163124,-0.240843,0.00423041,-0.339142,0,0.0567678,0,0.998387,0.0136,0,0.00253348
0.067932,-0.178717,2.92281,43.9977,-0.00404842,0.175202,-0.240815,0.00423041,-0.339137,0,0.0569681,0,0.998376,0.0136,0,0.00184725
0.06993,-0.108767,3.0955,44.3295,-0.00246385,0.18823,-0.240788,0.00423041,-0.339134,0,0.0571683,0,0.998365,0.0136,0,0.00232613
0.071928,-0.374797,3.22189,44.2825,-0.00849012,0.0953168,-0.240761,0.00423041,-0.339127,0,0.0573686,0,0.998353,0.0136,0,0.00364077
0.073926,-0.351855,3.3874,44.1251,-0.00797044,0.0981732,-0.240734,0.00423041,-0.33912,0,0.0575688,0,0.998342,0.0136,0,0.00333518
0.075924,-0.383087,3.55937,44.1965,-0.00867793,0.109405,-0.240707,0.00423041,-0.339114,0,0.057769,0,0.99833,0.0136,0,0.00275024
0.077922,-0.404095,3.5566,44.211,-0.00915381,0.123411,-0.24068,0.00423041,-0.339109,0,0.0579693,0,0.998318,0.0136,0,0.00290917
0.07992,-0.333381,3.64768,44.2355,-0.00755196,0.137804,-0.240652,0.00423041,-0.339103,0,0.0581695,0,0.998307,0.0136,0,0.00313406
0.081918,-0.391228,3.69115,43.9617,-0.00886234,0.154091,-0.240625,0.00423041,-0.339096,0,0.0583698,0,0.998295,0.0136,0,0.0029123
0.083916,-0.228201,3.71462,43.9862,-0.00516935,0.171676,-0.240598,0.00423041,-0.339092,0,0.05857,0,0.998283,0.0136,0,0.00202894
0.085914,0.295576,3.62774,43.8086,0.00669558,0.189776,-0.240571,0.00423041,-0.339089,0,0.0587702,0,0.998272,0.0136,0,-0.000356813
0.087912,0.78518,3.84252,44.4401,0.0177864,0.208149,-0.240544,0.00423041,-0.339091,0,0.0589704,0,0.99826,0.0136,0,-9.52003e-05
0.08991,1.20743,3.47731,44.4744,0.0273514,0.226718,-0.240517,0.00423041,-0.339089,0,0.0591707,0,0.998248,0.0136,0,0.00211131
0.091908,1.42811,3.28711,44.2137,0.0323504,0.245438,-0.240489,0.00423041,-0.339084,0,0.0593709,0,0.998236,0.0136,0,0.00285715
0.093906,1.43528,3.21759,43.9807,0.0325128,0.222428,-0.240462,0.00423041,-0.339079,0,0.0595711,0,0.998224,0.0136,0,0.00203985
0.095904,1.48629,3.04144,43.7716,0.0336684,0.192646,-0.240435,0.00423041,-0.339075,0,0.0597713,0,0.998212,0.0136,0,0.0014873
0.097902,1.42791,2.71667,44.3495,0.032346,0.105701,-0.240408,0.00423041,-0.339073,0,0.0599715,0,0.9982,0.0136,0,0.0011806
0.0999,1.5543,2.32661,44.3774,0.0352089,0.117787,-0.240381,0.00423041,-0.33907,0,0.0601717,0,0.998188,0.0136,0,0.00183975
0.101898,1.7779,2.38974,44.0536,0.040274,0.131413,-0.240353,0.00423041,-0.339067,0,0.060372,0,0.998176,0.0136,0,0.00138709
0.103896,1.83965,2.33406,44.049,0.0416728,0.112843,-0.240326,0.00423041,-0.339064,0,0.0605722,0,0.998164,0.0136,0,0.00116402
0.105894,1.81602,2.19777,44.3157,0.0411377,0.128725,-0.240299,0.00423041,-0.339061,0,0.0607724,0,0.998152,0.0136,0,0.00199086
0.107892,1.69105,2.06021,43.9341,0.0383068,0.132021,-0.240272,0.00423041,-0.339057,0,0.0609726,0,0.998139,0.0136,0,0.0017226
0.10989,1.48283,2.02534,44.0117,0.0335899,0.147932,-0.240245,0.00423041,-0.339054,0,0.0611728,0,0.998127,0.0136,0,0.00113982
0.111888,1.39159,2.20597,44.3511,0.0315231,0.163511,-0.240218,0.00423041,-0.339052,0,0.061373,0,0.998115,0.0136,0,0.00153854
0.113886,1.21544,2.10843,44.2716,0.027533,0.0828343,-0.24019,0.00423041,-0.339048,0,0.0615732,0,0.998103,0.0136,0,0.00215157
0.115884,0.968589,1.81171,44.0842,0.0219411,0.0900327,-0.240163,0.00423041,-0.339044,0,0.0617733,0,0.99809,0.0136,0,0.00156349
0.117882,0.694778,1.74567,44.1579,0.0157385,0.0918358,-0.240136,0.00423041,-0.339041,0,0.0619735,0,0.998078,0.0136,0,0.00174101
0.11988,0.55605,1.89018,44.1555,0.012596,0.0966797,-0.240109,0.00423041,-0.339037,0,0.0621737,0,0.998065,0.0136,0,0.00202173
0.121878,0.391148,1.84445,44.0917,0.00886053,0.0963302,-0.240082,0.00423041,-0.339034,0,0.0623739,0,0.998053,0.0136,0,0.00135534
0.123876,0.361922,1.82394,44.233,0.00819848,0.0726133,-0.240055,0.00423041,-0.339031,0,0.0625741,0,0.99804,0.0136,0,0.0015501
0.125874,0.225946,1.9939,44.0091,0.00511827,0.0759961,-0.240027,0.00423041,-0.339027,0,0.0627743,0,0.998028,0.0136,0,0.00212949
0.127872,0.188693,2.03178,44.1455,0.00427438,0.0795392,-0.24,0.00423041,-0.339023,0,0.0629746,0,0.998015,0.0136,0,0.00190344
0.12987,0.18878,2.14692,44.0913,0.00427636,0.0832434,-0.239973,0.00423041,-0.33902,0,0.0631749,0,0.998003,0.0136,0,0.00119001
0.131868,0.0894836,2.33112,43.9917,0.00202704,0.087092,-0.239946,0.00423041,-0.339018,0,0.0633752,0,0.99799,0.0136,0,0.000188937
0.133866,0.280374,2.48524,44.2128,0.0063512,0.0908102,-0.239919,0.00423041,-0.339017,0,0.0635755,0,0.997977,0.0136,0,0.00128186
0.135864,0.4787,2.5201,44.2073,0.0108438,0.0944783,-0.239892,0.00423041,-0.339013,0,0.0637758,0,0.997964,0.0136,0,0.00237986
0.137862,0.726738,2.59005,43.9678,0.0164625,0.0982572,-0.239864,0.00423041,-0.339009,0,0.063976,0,0.997951,0.0136,0,0.00167497
0.13986,0.864192,2.60853,44.1005,0.0195762,0.101978,-0.239837,0.00423041,-0.339007,0,0.0641763,0,0.997939,0.0136,0,0.000823005
0.141858,0.787142,2.70442,44.3811,0.0178308,0.111135,-0.23981,0.00423041,-0.339005,0,0.0643765,0,0.997926,0.0136,0,0.000947199
0.143856,0.737695,2.72361,44.0885,0.0167107,0.111859,-0.239783,0.00423041,-0.339002,0,0.0645768,0,0.997913,0.0136,0,0.0014567
0.145854,0.497792,2.86891,43.881,0.0112763,0.111728,-0.239756,0.00423041,-0.338999,0,0.0647771,0,0.9979,0.0136,0,0.00140018
0.147852,0.567702,2.91453,44.1443,0.0128599,0.107125,-0.239729,0.00423041,-0.338996,0,0.0649774,0,0.997887,0.0136,0,0.00177273
0.14985,0.527571,3.02093,44.0916,0.0119509,0.105661,-0.239701,0.00423041,-0.338993,0,0.0651776,0,0.997874,0.0136,0,0.00145184
0.151848,0.347287,2.94826,44.3713,0.00786695,0.10726,-0.239674,0.00423041,-0.33899,0,0.0653778,0,0.997861,0.0136,0,0.00219431
0.153846,0.413407,2.95397,44.2225,0.00936476,0.110338,-0.239647,0.00423041,-0.338984,0,0.065578,0,0.997847,0.0136,0,0.00332961
0.155844,0.303558,3.03473,44.1274,0.00687638,0.114747,-0.23962,0.00423041,-0.338978,0,0.0657782,0,0.997834,0.0136,0,0.00282779
0.157842,0.254242,3.17436,44.103,0.00575925,0.120064,-0.239593,0.00423041,-0.338972,0,0.0659783,0,0.997821,0.0136,0,0.00230243
0.15984,0.380627,3.24866,44.0965,0.00862221,0.128178,-0.239566,0.00423041,-0.338968,0,0.0661785,0,0.997808,0.0136,0,0.00237154
0.161838,0.555516,3.08048,43.8853,0.0125839,0.140731,-0.239538,0.00423041,-0.338964,0,0.0663787,0,0.997795,0.0136,0,0.00114441
